id,name,original_name,original_language,genres_id,production_companies_id
912649,Venom: The Last Dance,Venom: The Last Dance,en,"[28, 878, 12, 53]","[5, 84041, 53462, 91797, 14439]"
1241982,Moana 2,Moana 2,en,"[16, 12, 10751, 35]","[2, 6125, 158526]"
1035048,Elevation,Elevation,en,"[28, 878, 53]","[180839, 165538, 146553, 242398, 242399]"
974453,Absolution,Absolution,en,"[28, 80, 53]","[175140, 80292, 220749]"
1182387,Armor,Armor,en,"[28, 80, 53]","[7417, 20312, 121204, 3604]"
1299652,Watchmen: Chapter II,Watchmen: Chapter II,en,"[16, 9648, 878, 28]","[2785, 9993, 4]"
957119,Sidelined: The QB and Me,Sidelined: The QB and Me,en,"[35, 10749, 10770]","[81242, 78028]"
1147416,"Miraculous World, London: At the Edge of Time","Miraculous World : Londres, la course contre le temps",fr,"[16, 12, 28, 14]","[79650, 35136]"
558449,Gladiator II,Gladiator II,en,"[28, 12, 36]","[4, 221347, 246486]"
1184918,The Wild Robot,The Wild Robot,en,"[16, 28, 878, 10751]",[521]
402431,Wicked,Wicked,en,"[18, 10749, 14]","[33, 2527]"
845781,Red One,Red One,en,"[28, 14, 35]","[73669, 92693, 25998, 21]"
539972,Kraven the Hunter,Kraven the Hunter,en,"[28, 12, 53]","[5, 53462, 14439]"
933260,The Substance,The Substance,en,"[27, 878]","[10163, 233939]"
1100782,Smile 2,Smile 2,en,"[27, 9648]","[4, 12292, 231315]"
1034541,Terrifier 3,Terrifier 3,en,"[27, 53]","[238902, 15157, 84591, 114220, 213025]"
945961,Alien: Romulus,Alien: Romulus,en,"[27, 878]","[127928, 221347, 401]"
1118031,Apocalypse Z: The Beginning of the End,Apocalipsis Z: el principio del fin,es,"[18, 28, 27]",[11068]
533535,Deadpool & Wolverine,Deadpool & Wolverine,en,"[28, 35, 878]","[420, 104228, 2575, 127928, 176762, 22213]"
1252470,Sikandar Ka Muqaddar,सिकंदर का मुकद्दर,hi,"[53, 80, 9648, 28]",[130688]
1357633,Solo Leveling -ReAwakening-,俺だけレベルアップな件 -ReAwakening-,ja,"[28, 12, 14, 16]","[2883, 13113]"
645757,That Christmas,That Christmas,en,"[16, 35, 10751, 14, 12]","[121605, 31922]"
791042,Levels,Levels,en,"[28, 878, 53]","[37749, 11877]"
1022789,Inside Out 2,Inside Out 2,en,"[16, 12, 35, 18, 10751]","[2, 3]"
698687,Transformers One,Transformers One,en,"[16, 878, 12, 10751]","[24955, 435, 38831, 6734, 114732, 207846]"
1171640,GTMAX,GTMAX,fr,"[28, 80, 18]","[134188, 3040]"
519182,Despicable Me 4,Despicable Me 4,en,"[16, 10751, 35, 878]","[33, 6704, 42, 243656]"
1326059,Pimpinero: Blood and Oil,Pimpinero: Sangre y gasolina,es,"[28, 80, 18]",[7062]
995803,Arena Wars,Arena Wars,en,"[28, 878, 53, 35, 27]",[109416]
1154223,Hunting With Tigers,Tigres et Hyènes,fr,"[28, 53]","[178908, 208281]"
762509,Mufasa: The Lion King,Mufasa: The Lion King,en,"[12, 10751, 18, 16]",[2]
1124641,Classified,Classified,en,"[28, 53]","[100121, 52352, 159674]"
592983,Spellbound,Spellbound,en,"[16, 14, 10751, 12, 35]","[82819, 115416, 179999]"
1010581,My Fault,Culpa mía,es,"[10749, 18]","[32485, 20580]"
1097870,Dear Santa,Dear Santa,en,"[14, 35]","[4, 244150, 244151]"
1106739,Juror #2,Juror #2,en,"[80, 18]","[174, 171, 225128]"
1051896,Arcadian,Arcadian,en,"[28, 27, 53, 878]","[76991, 159010, 129815, 125584, 831]"
1196470,Survive,Survivre,fr,"[53, 12, 28, 878]","[58668, 8906, 91532]"
1165466,Wake Up,Wake Up,en,"[27, 53, 28]","[694, 58726, 83399, 146052]"
1167271,Weekend in Taipei,Weekend in Taipei,en,"[28, 12, 53]","[6896, 171714, 18626]"
1108427,Moana,Moana,en,"[12, 35, 10751, 14]","[2, 73669, 34081]"
1029235,Azrael,Azrael,en,"[28, 27, 53]","[184518, 6144, 232289]"
