id,name,origin_country
5,Columbia Pictures,US
84041,Pascal Pictures,US
53462,Matt Tolmach Productions,US
91797,Hutch Parker Entertainment,US
14439,Arad Productions,US
2,Walt Disney Pictures,US
6125,Walt Disney Animation Studios,US
158526,Walt Disney Animation Studios,CA
180839,Lyrical Media,US
165538,Fuller Media,US
146553,Inspire Entertainment,US
242398,Grinder Monkey,
242399,John Glenn Entertainment,
175140,Electromagnetic Productions,US
80292,Sculptor Media,US
220749,north.five.six,US
7417,Convergence Entertainment,US
20312,TPC,US
121204,BondIt Media Capital,US
3604,Grindstone Entertainment Group,US
2785,Warner Bros. Animation,US
9993,DC Entertainment,US
4,Paramount Pictures,US
81242,Great Pacific Media,CA
78028,Thunderbird Entertainment,CA
79650,Zagtoon,FR
35136,Method Animation,FR
221347,Scott Free Productions,US
246486,Lucy Fisher/Douglas Wick Productions,US
521,DreamWorks Animation,US
33,Universal Pictures,US
2527,Marc Platt Productions,US
73669,Seven Bucks Productions,US
92693,The Detective Agency,US
25998,Chris Morgan Productions,US
21,Metro-Goldwyn-Mayer,US
10163,Working Title Films,GB
233939,Blacksmith,FR
12292,Temple Hill Entertainment,US
231315,Bad Feeling,US
238902,Cineverse,US
15157,Bloody Disgusting,US
84591,Dark Age Cinema,US
114220,Fuzz on the Lens Productions,US
213025,The Coven,US
127928,20th Century Studios,US
401,Brandywine Productions,US
11068,Nostromo Pictures,ES
420,Marvel Studios,US
104228,Maximum Effort,US
2575,21 Laps Entertainment,US
176762,Kevin Feige Productions,US
22213,TSG Entertainment,US
130688,Friday Storytellers,
2883,Aniplex,JP
13113,A-1 Pictures,JP
121605,Locksmith Animation,GB
31922,DNEG,GB
37749,Farpoint Films,CA
11877,Middle Child Films Inc.,CA
3,Pixar,US
24955,Paramount Animation,US
435,di Bonaventura Pictures,US
38831,DeSanto/Murphy Productions,US
6734,Bay Films,US
114732,New Republic Pictures,US
207846,Hasbro Entertainment,US
134188,Inoxy Films,FR
3040,Versus Production,BE
6704,Illumination,US
42,Universal Pictures Corporation,
243656,My Production to prove,
7062,Dynamo,CO
109416,Mahal Empire,
178908,Cheyenne Federation,FR
208281,Amazon Studios France,FR
100121,Film Bridge International,US
52352,Great Point Media,GB
159674,Filmology Finance,AU
82819,Skydance Media,US
115416,Skydance Animation,US
179999,Skydance Animation,ES
32485,Pokeepsie Films,ES
20580,Amazon Studios,US
244150,Farrelly Brothers,
244151,Kraymation Films,US
174,Warner Bros. Pictures,US
171,Malpaso Productions,US
225128,Dichotomy Films,US
76991,Highland Film Group,US
159010,Redline Entertainment,US
129815,Wild Atlantic Pictures,IE
125584,Aperture Media Partners,US
831,Saturn Films,US
58668,M.E.S. Productions,FR
8906,Monkey Pack Films,FR
91532,C8 Films,FR
694,StudioCanal,FR
58726,Borsalino Productions,FR
83399,WAG Prod,FR
146052,Fasten Films,ES
6896,EuropaCorp,FR
171714,Taipei Film Commission,TW
18626,Kinology,FR
34081,Flynn Picture Company,US
184518,C2 Motion Picture Group,US
6144,Homeless Bob Production,EE
232289,Traffic.,US
6705,Film4 Productions,GB
92346,SunnyMarch,GB
28473,Shoebox Films,GB
113521,StudioCanal,GB
7505,Marvel Entertainment,US
81620,Tencent Pictures,CN
11564,Versus Entertainment,ES
209187,LyO Media,
11652,Warner Bros. Entertainment España,ES
37209,4 Cats Pictures,ES
1020,Millennium Media,US
48738,Campbell Grobman Films,US
12142,XYZ Films,US
20339,Chapter 2,FR
188578,Fargo Films,FR
7981,Pathé,FR
1115,M6 Films,FR
25885,Green Dog Films,US
104677,Reigning Entertainment,US
238784,Orlan Films,
238785,Ágora Films,CO
65465,Cyfuno Ventures,
99214,Outlaw Films,
2073,KADOKAWA,JP
3464,Madhouse,JP
156047,Bit grooove promotion,JP
122771,Westbrook,US
10288,Don Simpson/Jerry Bruckheimer Films,US
84792,2.0 Entertainment,US
23,Imagine Entertainment,US
142395,LUNI Productions,DE
342,Davis Films,FR
6455,Pressman Film,US
51526,Hassell Free Production,US
67260,The Electric Shadow Company,GB
104363,30WEST,US
189103,Ashland Hill Media Finance,US
7493,FilmNation Entertainment,US
112609,Maze Pictures,DE
25838,Occupant Entertainment,DE
222873,Transparency Media,
117761,Streamline Global,US
333,Original Film,US
77884,Marza Animation Planet,JP
113750,SEGA,JP
10644,Blur Studio,US
153335,Dream Well Studio,LV
12433,Sacrebleu Productions,FR
101516,Take Five,BE
94,ARTE France Cinéma,FR
792,RTBF,BE
180651,Dr. Seuss Enterprises,US
5556,Universal Animation Studios,US
136126,Phase 4 Productions,FR
128894,Place du Marché Productions,FR
19037,uMedia,BE
220284,Star Invest Films Production,
122175,Région Grand Est,
11620,OCS,FR
22127,uFund,BE
7131,France Télévisions,FR
108265,Palatine Étoile 8,
200810,SG Image 2021,
220265,Conseil Département Du Loir-Et-Cher,FR
310,CNC,FR
22784,WTFilms,FR
25,20th Century Fox,US
477,Hughes Entertainment,US
198702,Kelas Bintang,
12,New Line Cinema,US
169947,Sola Entertainment,JP
194237,Middle-earth Enterprises,US
11,WingNut Films,NZ
10422,Blue Artichoke Films,
208629,Nuclear Tangerine,
210099,Amazon MGM Studios,US
3160,Brookstreet Pictures,US
120766,Sugar23,US
123659,KD Studios,RU
69125,Mythri Movie Makers,IN
93335,Sukumar Writings,IN
520,Pacific Data Images,US
63520,Sony Pictures International Productions,US
74139,EFICINE 189,MX
41077,A24,US
133303,Beck/Woods,US
168415,Shiny Penny Productions,US
150758,CatchLight Studios,US
1632,Lionsgate,US
221429,Media Capital Technologies,US
52270,Basque Films,ES
49235,Sardinha em Lata,PT
10050,TVG,ES
156679,Midralgar,FR
243749,Caretos Film,ES
133024,Oddball Entertainment,US
89254,Jason T. Reed Productions,US
83036,Joint Effort,US
216687,Domain Entertainment,US
112612,Esperanto Filmoj,GB
4152,Titmouse,US
238864,Maere Studios,US
241784,Disney Branded Television,US
360,Geffen Pictures,US
81,Plan B Entertainment,US
8601,Tim Burton Productions,US
228708,Tommy Harper Productions,US
28382,Kennedy Miller Mitchell,AU
2251,Sony Pictures Animation,US
77973,Lord Miller,US
923,Legendary Pictures,US
9996,Syncopy,GB
13769,Lynda Obst Productions,US
437,Heyday Films,GB
436,1492 Pictures,US
2365,Capital Arts Entertainment,US
242999,Good Entertainment,US
1088,Alcon Entertainment,US
144610,Wayfarer Studios,US
129773,One Cool Group,HK
11341,Stage 6 Films,US
229807,Andrews McMeel Entertainment,US
178792,John Cohen Productions,US
194532,Electric Motion Pictures,
202567,Pitchipoï Productions,FR
20664,Anton Capital Entertainment,GB
23514,Sentient Entertainment,US
138946,Brickell & Broadbridge International,US
198301,Off The Pier Productions,US
1225,One Race,US
34530,Perfect Storm Entertainment,US
194285,Saks Picture Company,US
1645,Scott Free Productions,GB
14440,Red Wagon Entertainment,US
21904,Mill Film,GB
7,DreamWorks Pictures,US
2801,Film i Väst,SE
116669,Flamboyance Films,
2345,Lemming Film,NL
8483,Plattform Produktion,SE
2999,SVT,SE
92840,Logical Pictures,FR
77697,Grand Slam Film Production,SE
6181,SF Studios,SE
2598,Hasbro,US
123244,Picturestart,US
158612,Gearbox Studios,US
181160,2K,US
147591,Hercules Film Fund,LU
1311,The Asylum,US
215195,Gelt Films,
729,Why Not Productions,FR
83,France 2 Cinéma,FR
11779,Page 114,FR
237344,Saint Laurent Productions,FR
139680,Saint Laurent,FR
171148,Library Pictures International,US
209127,Logical Content Ventures,FR
1926,Les Films du Fleuve,BE
200642,The Veterans,US
20848,Rough House Pictures,US
2932,Red Hour,US
156327,Rivulet Media,US
179831,Capstone Studios,US
106754,Hammerstone Studios,US
122323,Raimi Productions,US
113069,Ekipa,PL
133440,Open Mind Production,PL
9350,Indian Paintbrush,US
112783,House Productions,GB
56,Amblin Entertainment,US
110321,M.M.D. Rome,
2849,BONES,JP
882,TOHO,JP
5322,Aloe Entertainment,US
243770,Luna Films,
199728,Ludascripts,US
233099,Peachtree Media Partners,US
10280,Arc Productions,
117747,Media Finance Capital,GB
246708,LONY Productions,
223220,FitzHenry Films,US
246709,Dorman Films,
173584,FilmSharks International,AR
240538,Urban Achievers,PY
8921,United Plankton Pictures,US
4859,Nickelodeon Animation Studio,US
121194,Workerbee,GB
43252,Jackpot Productions,GB
147142,Blaad Studios,KR
128404,CJ ENM,KR
199265,CJ ENM Studios,KR
7036,CJ Entertainment,KR
82968,LuckyChap Entertainment,US
181486,NB/GG Pictures,US
6220,Mattel,US
10146,Focus Features,US
11370,Michael De Luca Productions,US
7626,Trigger Street Productions,US
138594,Frontier Pictures,ID
10211,Alfran Productions,US
79,Village Roadshow Pictures,US
214904,The Roald Dahl Story Company,GB
239439,At Last Productions,US
142849,OBB Pictures,US
131925,Island,
3528,Thunder Road,US
23008,87Eleven,US
264,Studio Babelsberg,DE
30294,8bit,JP
42141,DreamWorks Animation Television,US
106988,Mel Hoppenheim School of Cinema,CA
110723,Nickel City Pictures,US
106029,Novo Media Group,
241875,Pasttime Pictures,US
10221,Walden Media,US
79503,C.S. Lewis Company,GB
67694,Scena Group,
5128,San Francisco Film,IT
240713,Anonymous Content Nordic,NO
